,name,country,latitude,longitude,population,evangelical,language,religion,description,,
183,Pardhan (Pradhan),,,,,,,Hindu,,Himalayan,4Q / 2022
184,Pasi,,,,,,,Hindu,,,
185,Paswan,,,,,,,Hindu,,,
186,Patel,,,,,,,Hindu,,,
187,Pollats (North Africa),,,,,,,Muslim,,,
188,Rai,,,,,,,Hindu,,,
189,Rajbanshi,,,,,,,Hindu,,Himalayan,3Q / 2022
190,Rajbhar,,,,,,,Hindu,,,
191,Rajput,,,,,,,Hindu,,,
192,Rana,,,,,,,Hindu,,,
193,Rawat,,,,,,,Hindu,,,
194,"Rongkup (Lap-cha, Lapche)",,,,,,,Buddhist,,Himalayan,4Q / 2024
195,Russian,,,,,,,Atheist / Muslim,,Mission Black Sea,2006
196,Rutul,Azerbaijan,,,,,,Muslim,,Azerbaijani,3Q / 2022
197,Sada,,,,,,,Without Definition,,Himalayan,4Q / 2024
198,Sah (Shah) ?,,,,,,,Hindu,,Himalayan,1Q / 2023
199,Sahariya (Sahri),,,,,,,Hindu,,Ganges,2Q / 2023
200,Santhal,,,,,,,Hindu,,,
201,Santhali Adivashi,,,,,,,Hindu,,,
202,Sart Kalmak,,,,,,,Muslim,,,
203,Sasak,,,,,,,Muslim,,,
204,Seth,,,,,,,Hindu,,,
205,Shah,,,,,,,Hindu,,,
206,Ilsavan,Azerbaijan,,,,,,Muslim,,Azerbaijani,3Q / 2022
207,Shaikh,,,,,,,Muslim,,,
208,Shakhsaz (India),,,,,,,Muslim,,,
209,Shankhwar,,,,,,,Hindu,,,
210,Shawiya,,,,,,,Muslim,,,
211,Sherpa,,,,,,,Hindu,,,
212,Sherpa (Buddhist),Nepal,,,,,,Buddhist,,Himalayan / Nepal,
213,Shui,,,,,,,Animist,,,
214,Singiwala (Singh),,,,,,,Hindu,,Himalayan,4Q / 2022
215,Snarba,,,,,,,Muslim,,,
216,Somali,,,,,,,Muslim,,Sahel,2Q / 2022
217,Somokey,,,,,,,Muslim,,,
218,Sonar,,,,,,,Hindu,,,
219,Soria,India,,,,,,Hindu,,Himalayan / India,3Q / 2023
220,Sonuki,,,,,,,Muslim,,,
221,Soumraye,,,,,,,Muslim,,,
222,Subba,,,,,,,Hindu,,Himalayan,4Q / 2022
223,Sunda,,,,,,,Muslim,,,
224,Sunri (Saha),,,,,,,Hindu,,,
225,Tajiks (Central Asian),,,,,,,Muslim,,Persian,2008
226,Talish (Caucasus),,,,,,,Muslim,,,
227,Tamang,,,,,,,Hindu,,,
228,Tamazight (North Africa),,,,,,,Muslim,,,
229,Tanti,,,,,,,Hindu,,,
230,Tat,,,,,,,Muslim,,,
231,Tatar,Azerbaijan,,,,,,Muslim,,Azerbaijani,3Q / 2022
232,Teli,,,,,,,Hindu,,,
233,Thakur,,,,,,,Hindu,,,
234,Thapa,,,,,,,Hindu,,,
235,Tharu,,,,,,,Hindu,,,
236,Tibetans,,,,,,,Hindu,,,
237,Tigre,,,,,,,Muslim,,Caucasus,2Q / 2023
238,Tolaki,Indonesia,,,,,,Muslim,,Indonesia,4Q / 2022
239,Tsakhur,Azerbaijan,,,,,,Muslim,,Azerbaijani,3Q / 2022
240,Tuareg (Tahaggart),,,,,,,Muslim,,,
241,Tudu,,,,,,,Hindu,,Himalayan,4Q / 2022
242,Tujia,,,,,,,Animist,,,
243,"Arab, Tunisian",Tunisia,,,,,,Muslim,,Magreb / Tunisia,2020
244,Turaiha (Turha),,,,,,,Hindu,,Ganges,1Q / 2023
245,Turkmen,Turkmenistan,,,,,,Muslim,,Central Asia / Turkmenistan,2019
246,Turk,Turkiye,,,,,,Muslim,,Turkish / Turkey; Netherlands (2014); Cyprus (2016); Germany (2019),1Q 2010
247,Turku (Arab),,,,,,,Muslim,,,
248,Uighurs (Central Asian),,,,,,,Muslim,,,
249,Uzbeks (Central Asian),,,,,,,Muslim,,Central Asia,2009
250,Vishwa,,,,,,,Hindu,,,
251,Viswakarma,,,,,,,Hindu,,,
252,Wolof,,,,,,,Muslim,,,
253,Yadav (Ahir) (Rai),,,,,,,Hindu,,,
254,"Yakthumba, Limbu",,,,,,,Hindu,,Himalayan,2Q / 2022
